num_vertices,num_arestas,execution_BFS,reached_vertices_BFS,execution_DFS,reached_vertices_DFS,
1,0,5.447e-06,1,1.262e-06,1,
2,0,2.31e-06,1,1.2e-06,1,
3,1,4.86e-06,2,2.278e-06,2,
4,2,4.48e-06,2,1.863e-06,2,
5,3,8.285e-06,4,4.472e-06,4,
6,4,8.068e-06,4,4.568e-06,4,
7,5,2.376e-06,1,1.004e-06,1,
8,7,1.1605e-05,6,6.836e-06,6,
9,9,1.4921e-05,8,9.999e-06,8,
10,11,1.5178e-05,7,1.0363e-05,7,
11,14,1.8204e-05,9,1.2141e-05,9,
12,17,2.9735e-05,10,2.5551e-05,10,
13,20,3.46e-05,12,1.7993e-05,12,
14,23,3.6194e-05,13,2.7985e-05,13,
15,26,4.0795e-05,14,2.3075e-05,14,
16,30,3.0267e-05,15,2.5829e-05,15,
17,34,5.6303e-05,16,4.8001e-05,16,
18,38,4.4224e-05,16,3.183e-05,16,
19,43,3.9467e-05,18,3.4155e-05,18,
20,48,7.0959e-05,19,3.6974e-05,19,
21,53,4.7035e-05,20,5.0169e-05,20,
22,58,8.2605e-05,21,5.1836e-05,21,
23,63,5.5905e-05,22,8.811e-05,22,
24,69,6.1581e-05,23,7.3701e-05,23,
25,75,7.6718e-05,24,5.637e-05,24,
26,81,9.2603e-05,25,7.8096e-05,25,
27,88,6.8924e-05,26,6.8558e-05,26,
28,95,7.5286e-05,27,7.4635e-05,27,
29,102,9.1055e-05,28,7.2803e-05,28,
30,109,8.5203e-05,29,8.7569e-05,29,
31,116,8.183e-05,30,9.197e-05,30,
32,124,8.7703e-05,31,9.4991e-05,31,
33,132,9.1783e-05,32,0.000115463,32,
34,140,9.6539e-05,33,0.000120439,33,
35,149,0.000101578,34,0.000124078,34,
36,158,0.000107774,35,0.000130178,35,
37,167,0.000112954,36,0.000146249,36,
38,176,0.000109276,37,0.000138464,37,
39,185,0.000120355,38,0.000149482,38,
40,195,0.000128486,39,0.000133384,39,
41,205,0.000125734,40,0.000130839,40,
42,215,0.000134009,41,0.000142382,41,
43,226,0.000136542,42,0.000145456,42,
44,237,0.000153649,43,0.000159999,43,
45,248,0.000147356,44,0.000197011,44,
46,259,0.000173068,45,0.000210886,45,
47,270,0.000173949,46,0.000227771,46,
