num_vertices,num_arestas,execution_time,
1,0,8.345e-06,
2,0,3.49e-06,
3,1,3.732e-06,
4,1,3.83e-06,
5,2,5.573e-06,
6,3,4.486e-06,
7,4,5.015e-06,
8,6,6.087e-06,
9,7,6.96e-06,
10,9,8.788e-06,
11,11,1.1985e-05,
12,13,1.6787e-05,
13,16,2.9097e-05,
14,18,2.9545e-05,
15,21,3.6e-05,
16,24,4.273e-05,
17,27,4.8577e-05,
18,31,6.6033e-05,
19,34,7.5892e-05,
20,38,7.3752e-05,
21,42,0.000107234,
22,46,0.000124003,
23,51,0.000143042,
24,55,0.000149988,
25,60,0.000179086,
26,65,0.000180557,
27,70,0.000204087,
28,76,0.000233095,
29,81,0.000242525,
30,87,0.000298041,
31,93,0.000306423,
32,99,0.000309368,
33,106,0.00034136,
34,112,0.000369057,
35,119,0.000391169,
36,126,0.000462798,
37,133,0.000473575,
38,141,0.000533288,
39,148,0.000575327,
40,156,0.00062629,
41,164,0.000641031,
42,172,0.000497489,
43,181,0.000767774,
44,189,0.000761161,
45,198,0.00086482,
46,207,0.000942507,
47,216,0.000919088,
48,226,0.000851204,
49,235,0.00106932,
50,245,0.000877657,
51,255,0.00073266,
52,265,0.000764946,
53,276,0.000758367,
54,286,0.000761379,
55,297,0.000801747,
56,308,0.000873348,
57,319,0.000920901,
58,331,0.00085108,
59,342,0.000994596,
60,354,0.000952769,
61,366,0.00102317,
62,378,0.00106259,
63,391,0.00123851,
64,403,0.000997915,
65,416,0.00125515,
66,429,0.0012444,
67,442,0.00134495,
68,456,0.00135257,
69,469,0.00125228,
70,483,0.00132039,
71,497,0.00138128,
72,511,0.0013763,
73,526,0.00160615,
74,540,0.00250052,
75,555,0.00244916,
76,570,0.00162265,
77,585,0.00153469,
78,601,0.00159683,
79,616,0.00174859,
80,632,0.00212847,
81,648,0.00267345,
82,664,0.00188106,
83,681,0.00199727,
84,697,0.00206492,
85,714,0.00216913,
86,731,0.00245576,
87,748,0.00247811,
88,766,0.00233807,
89,783,0.00236124,
90,801,0.00242848,
91,819,0.00247746,
92,837,0.00296506,
93,856,0.00552152,
94,874,0.0037802,
95,893,0.00292189,
96,912,0.00312953,
97,931,0.00310684,
98,951,0.00311888,
99,970,0.00305748,
100,990,0.00337912,
101,1010,0.00372813,
102,1030,0.00334238,
103,1051,0.00438977,
104,1071,0.00366844,
105,1092,0.00375509,
106,1113,0.00391388,
107,1134,0.00406159,
108,1156,0.0040141,
109,1177,0.00420714,
110,1199,0.00418988,
111,1221,0.0043935,
112,1243,0.00444869,
113,1266,0.00458424,
114,1288,0.00458864,
115,1311,0.00494601,
116,1334,0.00501297,
117,1357,0.00494621,
118,1381,0.00581606,
119,1404,0.00544353,
120,1428,0.00635213,
121,1452,0.00541215,
122,1476,0.00606274,
123,1501,0.00586997,
124,1525,0.00593251,
125,1550,0.00758461,
126,1575,0.00610643,
127,1600,0.00639401,
128,1626,0.00620954,
129,1651,0.00647159,
130,1677,0.00726536,
131,1703,0.00680473,
132,1729,0.00719664,
133,1756,0.00700581,
134,1782,0.00979413,
135,1809,0.00928627,
136,1836,0.00763815,
137,1863,0.00904283,
138,1891,0.00792769,
139,1918,0.00948204,
140,1946,0.00793604,
141,1974,0.00973099,
142,2002,0.00927371,
143,2031,0.00874465,
144,2059,0.00979606,
145,2088,0.0093779,
146,2117,0.00948964,
147,2146,0.0102501,
148,2176,0.00999949,
149,2205,0.0103659,
150,2235,0.0109006,
151,2265,0.0110342,
152,2295,0.0102976,
153,2326,0.0113904,
154,2356,0.011729,
155,2387,0.0111324,
156,2418,0.0121486,
157,2449,0.0124029,
158,2481,0.0127325,
159,2512,0.0128895,
160,2544,0.0127427,
161,2576,0.0118396,
162,2608,0.0130248,
163,2641,0.0146148,
164,2673,0.0140869,
165,2706,0.0146235,
166,2739,0.0152847,
167,2772,0.0153033,
168,2806,0.0154931,
169,2839,0.0153663,
170,2873,0.0157382,
171,2907,0.0153628,
172,2941,0.0156768,
173,2976,0.0162344,
174,3010,0.0163377,
175,3045,0.016196,
176,3080,0.0163553,
177,3115,0.0175062,
178,3151,0.0173737,
179,3186,0.0176503,
180,3222,0.0180444,
181,3258,0.0180316,
182,3294,0.0195417,
183,3331,0.020063,
184,3367,0.0197611,
185,3404,0.0195949,
186,3441,0.0195755,
187,3478,0.0200047,
188,3516,0.0194573,
189,3553,0.0201489,
190,3591,0.0219288,
191,3629,0.0215142,
192,3667,0.0220664,
193,3706,0.0216235,
194,3744,0.0212322,
195,3783,0.0219265,
196,3822,0.0226794,
197,3861,0.0223486,
198,3901,0.022315,
199,3940,0.0227379,
200,3980,0.0230978,
201,4020,0.0248228,
202,4060,0.0235443,
203,4101,0.02501,
204,4141,0.024939,
205,4182,0.0345991,
206,4223,0.04718,
207,4264,0.0303299,
208,4306,0.0298218,
209,4347,0.0275173,
210,4389,0.0278394,
211,4431,0.0283849,
212,4473,0.0284178,
213,4516,0.0282372,
214,4558,0.0272784,
215,4601,0.027508,
216,4644,0.0290324,
217,4687,0.0293652,
218,4731,0.0300424,
219,4774,0.0299929,
220,4818,0.0314218,
221,4862,0.0312349,
222,4906,0.0299119,
223,4951,0.0306683,
224,4995,0.0324319,
225,5040,0.0324398,
226,5085,0.032653,
227,5130,0.0320467,
228,5176,0.0335175,
229,5221,0.0341762,
230,5267,0.0349378,
231,5313,0.0354447,
232,5359,0.0356491,
233,5406,0.0375091,
234,5452,0.036532,
235,5499,0.0363991,
236,5546,0.0361041,
237,5593,0.0372526,
238,5641,0.0386709,
239,5688,0.0378588,
240,5736,0.0379302,
241,5784,0.0389175,
242,5832,0.0393579,
243,5881,0.0401175,
244,5929,0.0401605,
245,5978,0.0416393,
246,6027,0.0425649,
247,6076,0.0418387,
248,6126,0.0759371,
249,6175,0.0445931,
250,6225,0.045035,
251,6275,0.0438062,
252,6325,0.0443116,
253,6376,0.044638,
254,6426,0.0452466,
255,6477,0.0463871,
256,6528,0.0463615,
257,6579,0.0483904,
258,6631,0.0466314,
259,6682,0.048235,
260,6734,0.0512181,
261,6786,0.0492209,
262,6838,0.0506788,
263,6891,0.0501602,
264,6943,0.0511433,
265,6996,0.0497514,
266,7049,0.0541755,
267,7102,0.0519485,
268,7156,0.0529786,
269,7209,0.0525544,
270,7263,0.0538285,
271,7317,0.0537312,
272,7371,0.0538176,
273,7426,0.0548271,
274,7480,0.0563849,
275,7535,0.0566704,
276,7590,0.055728,
277,7645,0.0573638,
278,7701,0.0584399,
279,7756,0.0570147,
280,7812,0.0600162,
281,7868,0.0586392,
282,7924,0.059909,
283,7981,0.0605575,
284,8037,0.062454,
285,8094,0.0631964,
286,8151,0.0637841,
287,8208,0.0646232,
288,8266,0.0654651,
289,8323,0.0635436,
290,8381,0.0663704,
291,8439,0.0671605,
292,8497,0.0668712,
293,8556,0.0663805,
294,8614,0.0698684,
295,8673,0.0684086,
296,8732,0.0717592,
297,8791,0.0711058,
298,8851,0.0712529,
299,8910,0.0708245,
300,8970,0.0721628,
301,9030,0.0717342,
302,9090,0.0739613,
303,9151,0.074518,
304,9211,0.0742701,
305,9272,0.07427,
306,9333,0.0762681,
307,9394,0.0767058,
308,9456,0.0759199,
309,9517,0.0788411,
310,9579,0.07763,
311,9641,0.0794118,
312,9703,0.0800936,
